mes,date,ethereum,bitcoin,litecoin,monero,binance
Octubre,2020-10-01,357.870727885,10702.990413715,47.03974977,107.3276891,27.872713625000003
Octubre,2020-10-02,345.291287585,10537.2635954,45.576188990000006,99.435271365,27.038343905
Octubre,2020-10-03,347.98713809000003,10555.035291435,45.45607206,102.3839483,27.71288642
Octubre,2020-10-04,349.588387035,10610.195967265,46.246780125,105.235375385,28.60269869
Octubre,2020-10-05,352.44699557,10714.054006845,46.39946646,109.20183693,28.73843
Octubre,2020-10-06,346.49615844,10663.234459145,46.878339665,109.594409005,28.1350141
Octubre,2020-10-07,338.498197835,10621.507662015,46.113114445,107.524739225,27.407479815
Octubre,2020-10-08,343.92947920999995,10754.171567165,46.66283936,110.00888273,27.206621835
Octubre,2020-10-09,358.258093015,10974.760967475,47.491809335,113.31464726,28.0346791
Octubre,2020-10-10,371.810598065,11249.575821575,49.09256124,116.90648432,28.690918055
Octubre,2020-10-11,373.537409935,11358.72071541,50.05463156,120.75054292,28.351879265
Octubre,2020-10-12,380.88224502,11469.577365995,50.53023381,129.910073295,29.786779215
Octubre,2020-10-13,381.479069925,11435.104672545,49.90499152,127.31024811,31.01725165
Octubre,2020-10-14,380.73559028,11423.90440748,50.1955267,129.15659103500002,30.879723235
Octubre,2020-10-15,376.28145227,11436.758850405,49.65387667,128.167237255,31.0347065
Octubre,2020-10-16,371.309461315,11381.537355785,48.057145075,124.864473815,30.79206441
Octubre,2020-10-17,367.12857891,11335.80354178,47.24668304,120.382422835,30.137798705
Octubre,2020-10-18,373.36339846,11415.46913754,47.42579354,121.792236195,30.60913062
Octubre,2020-10-19,378.509959225,11603.691547775,47.74542933,125.37486258,30.256637715
Octubre,2020-10-20,374.18103233,11840.69902019,47.56270065,121.888874405,29.311760235
Octubre,2020-10-21,384.677604755,12542.747394945,50.80205193,121.35755461,29.546400165
Octubre,2020-10-22,405.708983945,12939.343781855,54.53506565,124.310118235,30.532211065
Octubre,2020-10-23,411.020982215,12884.304233784998,54.925210505,125.04869221,30.63356448
Octubre,2020-10-24,412.22569289,13015.40665705,57.06988829,127.423788135,30.65102683
Octubre,2020-10-25,411.254932225,13119.622560795,58.21610038,130.7450207,30.46388837
Octubre,2020-10-26,397.531386345,13023.840043855002,57.15516514,133.945734865,30.65178896
Octubre,2020-10-27,400.190653315,13410.253381035,57.697996845,134.35656898000002,31.672310585
Octubre,2020-10-28,395.05552844,13384.97301829,57.506534355,129.28718272,30.89777829
