mes,date,ethereum,bitcoin,litecoin,monero,binance
Enero,2021-01-01,734.497058435,29202.105981925,128.256921995,150.26557825499998,37.987241895
Enero,2021-01-02,752.453987505,31123.15000515,132.03310004,137.209991195,37.88092861
Enero,2021-01-03,889.063323725,33330.43690674,149.819276435,138.444234075,39.71221388
Enero,2021-01-04,1032.74728466,31081.486919555,158.325888075,136.78923105,40.638052015
Enero,2021-01-05,1058.091385445,32329.38866535,155.125124105,134.62759333,40.35677644
Enero,2021-01-06,1136.83094929,35196.86615508,162.55516079,137.66019085,41.39261548499999
Enero,2021-01-07,1225.01137101,38335.778859065,171.83996996500002,146.398766045,42.98295195
Enero,2021-01-08,1174.95452001,39392.68767358,166.70843737,143.11550024000002,42.062472025
Enero,2021-01-09,1243.07112648,40208.61345632,171.62128196999998,144.11696049,42.854922355
Enero,2021-01-10,1271.3208619749998,38702.409077150005,174.782573485,168.42383574500002,42.875142565
Enero,2021-01-11,1093.272776385,34448.064136235,143.025648595,164.296253335,38.824193315
Enero,2021-01-12,1081.00220956,34633.251797885,137.821491095,164.21657338,38.558206245
Enero,2021-01-13,1064.443766525,35092.3141348,137.369973995,162.791740175,38.77266209
Enero,2021-01-14,1168.611884505,38417.484243855,150.37486003499998,166.36829078,40.764729235
Enero,2021-01-15,1170.613467625,37118.65046641,143.65527935,158.13137138000002,40.753261205
Enero,2021-01-16,1223.838710805,36748.9614478,146.03142108499998,157.772485705,42.325870125
Enero,2021-01-17,1220.01663744,35395.83603077,141.94686451,157.3150943,43.87300954
Enero,2021-01-18,1223.38058824,36091.564927165,146.668569355,155.87716782,45.480131375
Enero,2021-01-19,1343.411517275,36912.849126165005,158.206093835,159.03924,44.520996765
Enero,2021-01-20,1324.522030775,34974.40225169,147.615596765,153.57858166,41.5304835
Enero,2021-01-21,1240.58030273,32901.71456814,138.0891478,141.00534271499998,40.542289425
Enero,2021-01-22,1159.14207475,31382.61215557,132.331216885,131.49571588,39.181554285
Enero,2021-01-23,1236.52219459,32427.06892691,138.72532230500002,137.490632145,40.718411245
Enero,2021-01-24,1310.19267295,32025.347355985003,138.56539901500005,138.224252635,41.34779224
Enero,2021-01-25,1386.37949323,33445.26547203,142.08010860500002,140.90813265,41.993591635
Enero,2021-01-26,1314.7127126300002,31912.407777955,134.203688245,137.18524087,41.242524815
Enero,2021-01-27,1291.692658815,30965.58472944,126.825077775,131.768536295,40.88931785
Enero,2021-01-28,1291.23133745,31940.758911995,128.663948525,131.944599955,41.792012940000006
Enero,2021-01-29,1360.61064283,35235.537575735,138.5600993,141.33898340000002,42.958227725
Enero,2021-01-30,1365.46442475,33887.447607565,132.40998375,139.281255605,43.83415963
Enero,2021-01-31,1333.70881662,33279.253749875,130.478346585,136.60001634000002,44.56839181
Febrero,2021-02-01,1324.10177923,33511.22079575,131.24033427,140.99598652999998,47.831438475
Febrero,2021-02-02,1452.881089905,34693.050408105,138.742912655,147.244269025,51.149469985
Febrero,2021-02-03,1585.4599077900002,36462.08531018,149.03002825,153.28942754500002,51.316509370000006
Febrero,2021-02-04,1625.5200882499998,37454.83759226,150.25143325,151.750909095,54.3367765
Febrero,2021-02-05,1675.6521809350002,37442.33474107,150.42674258,151.546944,62.23738277
Febrero,2021-02-06,1693.69158368,39492.46762152,156.97185704,155.274007025,68.805003445
Febrero,2021-02-07,1595.893463565,38533.994688295,151.395588965,151.997861745,69.55522195
Febrero,2021-02-08,1671.08533993,42140.127121855,158.194331745,155.47918943,73.84538814999999
Febrero,2021-02-09,1763.79206312,46585.34200337,174.166150975,165.77880505500002,96.78908502
Febrero,2021-02-10,1756.61957044,45513.360398595,183.21921847,174.12428148499998,127.8916642
Febrero,2021-02-11,1757.60914508,46325.614737805,184.52970566,181.157190485,125.31597832
Febrero,2021-02-12,1802.762955995,47585.355808975,188.77011045,202.66775449,130.985120085
Febrero,2021-02-13,1821.107816445,47220.01346226,210.65204636,227.137168635,132.09956650499998
Febrero,2021-02-14,1819.034132625,48301.07522962,219.653414135,233.22873783,133.74423964
Febrero,2021-02-15,1758.868613355,47611.524351225,205.87987246,218.572638745,129.477372225
Febrero,2021-02-16,1777.080281985,48771.20350359,211.17378795,221.945335165,130.038625915
Febrero,2021-02-17,1795.18668294,50803.145726015,220.608226115,247.14476832,151.104132355
