mes,date,ethereum,bitcoin,litecoin,monero,binance
Abril,2019-04-01,141.735777723,4130.92728923,60.699531167100005,57.90912850065,17.675025478549998
Abril,2019-04-02,153.431641227,4530.63555547,68.97475397870001,64.43823883044999,18.80646851375
Abril,2019-04-03,167.8221007015,5091.812460035,86.75245116299999,68.12985676045,19.25067624175
Abril,2019-04-04,160.08516194150002,4949.97677413,85.45351211594999,64.54696264514999,18.99650885995
Abril,2019-04-05,162.3321665465,4986.500803815,87.25264802205001,66.5343874627,19.236184345650003
Abril,2019-04-06,167.15761715399998,5099.021965895,91.52687023645,68.54783742890001,19.1836410026
Abril,2019-04-07,170.072633533,5142.799368315,92.74004377075,68.9966056815,19.08924602565
Abril,2019-04-08,179.269419141,5233.524150654999,90.44346882565,70.6647484377,18.58192860315
Abril,2019-04-09,177.6729941965,5228.668519855,87.2524784593,69.64958719325,17.98223460695
Abril,2019-04-10,179.182322787,5307.516988365,88.54973538595,69.910235262,18.4026062666
Abril,2019-04-11,169.90404836300002,5185.760937659999,82.5892562456,66.99167546355,17.438091550400003
Abril,2019-04-12,163.578631113,5029.56350421,78.35384685785,68.42810915375,17.721514330799998
Abril,2019-04-13,164.6871384205,5094.355731935,78.89806952615,65.4877164274,18.4353950142
Abril,2019-04-14,165.68625761049998,5118.79232505,79.95834791035,65.79440649325,19.2701154843
Abril,2019-04-15,164.187095688,5110.33808652,80.4150594938,65.66320705875,19.3924189053
Abril,2019-04-16,164.27753980699998,5147.070099435,79.93347465115,67.0441474287,19.32482618265
Abril,2019-04-17,167.22023699599998,5246.740576345001,80.5413342545,68.44489511764999,19.6573775294
Abril,2019-04-18,171.018721036,5285.24638649,81.25450303254999,68.70703502719999,20.80611022395
Abril,2019-04-19,172.299558661,5285.0076040700005,81.81120826035,68.537998786,23.0587953832
Abril,2019-04-20,174.2473237755,5327.184102589999,81.58436523485,69.20015781724999,24.74664716945
Abril,2019-04-21,170.924680138,5308.63228112,78.455357176,68.7491082999,23.89056646925
Abril,2019-04-22,170.899336208,5351.482075365,76.79458169435,68.67313643085001,24.04973292515
Abril,2019-04-23,173.873766704,5511.605471245,77.0505966513,69.54174241850001,23.7176278934
Abril,2019-04-24,166.7749501585,5530.153960850001,73.2958580193,67.95953244095,22.28659876365
Abril,2019-04-25,160.180206521,5361.7886614,72.78135929385,64.5806723197,22.5353630252
Abril,2019-04-26,155.0573405275,5280.501464535,72.35334321639999,61.87401694275,22.55405205155
Abril,2019-04-27,158.10565413,5272.192932855,72.66098451900001,62.56682324305,22.60496884935
Abril,2019-04-28,158.3454473025,5290.95788016,70.781429723,62.0358593376,22.66845464125
Abril,2019-04-29,155.76022171699998,5263.881321655001,68.74764174929999,60.7858607366,22.12686292115
Abril,2019-04-30,158.80251275400002,5293.723684095,71.30944254495,61.21081481115,21.8891822758
Mayo,2019-05-01,161.860456101,5382.825075549999,73.85933392715,63.53370537075,21.92655276425
Mayo,2019-05-02,161.498857192,5458.240036845,73.80972149925,64.5829172043,22.89877193845
Mayo,2019-05-03,165.574685978,5678.0419707050005,76.930935265,66.28780503085,23.5305319287
Mayo,2019-05-04,166.2186781095,5766.181410525,78.90787404139999,66.790471318,23.15622774535
Mayo,2019-05-05,162.5503137985,5770.9490210700005,76.84421126654999,66.8985794877,22.86767692655
Mayo,2019-05-06,167.874143535,5728.32257292,74.3594645238,65.8461788864,22.318396332600003
Mayo,2019-05-07,175.044560025,5864.787126159999,76.3375893429,67.6619223793,21.56682306515
Mayo,2019-05-08,169.2963919755,5892.348397805,74.2098202753,66.0896103992,20.57448187575
Mayo,2019-05-09,170.064139794,6082.677782105,74.4613635485,65.89103381365001,19.77684568395
Mayo,2019-05-10,172.438343179,6298.068367035,75.8811033528,66.3561394784,19.23897106435
Mayo,2019-05-11,188.302978372,6854.350867114999,85.82680575250001,73.87041728119999,20.50987443895
Mayo,2019-05-12,192.7677059285,7159.821379675001,88.49966744045,75.8210289519,20.898136203550003
Mayo,2019-05-13,195.202085741,7472.847714285,88.33587348085,77.59133651375001,22.63903060905
Mayo,2019-05-14,206.964729742,7982.551861344999,90.51568318075,81.73146757675,23.7099878417
Mayo,2019-05-15,232.134353077,8057.7653476,96.97864099695,88.6811439419,25.3738188855
Mayo,2019-05-16,260.5948596665,8025.216369835,99.38538372895,90.89838062065,26.5491313061
Mayo,2019-05-17,247.373515229,7483.635045195,91.09822150925,82.4929746169,25.047453123
Mayo,2019-05-18,239.731308348,7349.38812596,87.8377352799,81.12374825570001,26.8486966766
Mayo,2019-05-19,248.7498308565,7764.952092899999,91.33600132905,85.2149301883,28.5369214115
Mayo,2019-05-20,251.677454644,7939.87479192,91.9543226648,87.71616760935001,28.7368915105
Mayo,2019-05-21,255.151919024,7952.753911755,91.01605186975,89.946877067,30.38991161885
Mayo,2019-05-22,250.7661758425,7806.79996163,89.77392354554999,87.29902567215001,31.5980922679
Mayo,2019-05-23,240.704862178,7738.494041465,87.48439553099999,83.1024689612,31.3243225238
Mayo,2019-05-24,249.249714261,7982.584402285,95.5371866898,85.5277028722,32.8177557558
Mayo,2019-05-25,253.2228196385,8041.951078295,101.4142273199,86.599014988,34.44234156815
