mes,date,ethereum,bitcoin,litecoin,monero,binance
Julio,2020-07-01,228.795928639,9207.24487134,41.73833610445,64.049622876,15.614944314
Julio,2020-07-02,228.929416864,9155.793208515,41.2955495813,64.99215893785,15.60383174415
Julio,2020-07-03,227.2716429345,9130.569583205,41.3635020952,64.22384091435,15.43034864375
Julio,2020-07-04,227.593721716,9118.46262689,41.65354597685,63.70966738615,15.4332006319
Julio,2020-07-05,227.200607191,9069.59943341,41.57179874915,63.1012326109,15.43949173985
Julio,2020-07-06,234.5811180315,9217.069608775,42.82153226295,63.90280676485,15.89124866015
Julio,2020-07-07,238.450257868,9281.21647811,43.6668114858,64.3148190745,16.44297879465
Julio,2020-07-08,243.3536156865,9349.9178099,44.2910635637,65.71723481335,17.0369585201
Julio,2020-07-09,243.595157232,9333.18902053,44.76940242085,67.15998417060001,17.0081611732
Julio,2020-07-10,239.8071644735,9202.737000515,44.03944481775,66.82896526075001,16.85229732165
Julio,2020-07-11,239.9293544455,9246.509095595,44.3557120886,68.37081786145,17.369977569200003
Julio,2020-07-12,240.5406733385,9258.434868255,44.621446136100005,69.26066107765,18.09740785865
Julio,2020-07-13,241.271443138,9265.3488856,44.27169682765,69.0224071041,18.33144305375
Julio,2020-07-14,239.899985183,9227.751630375,43.571107311000006,68.09097502235,18.32399018065
Julio,2020-07-15,239.2494338955,9223.62933995,43.5002419123,70.0007202139,17.7894866054
Julio,2020-07-16,235.3137109125,9151.63005032,42.43938666405,69.07060194075,17.21558620925
Julio,2020-07-17,233.2625142005,9135.72838132,42.0602729766,67.6258200467,17.24945235265
Julio,2020-07-18,234.434430956,9165.903957675,42.306442110350005,68.0365931332,17.06358232905
Julio,2020-07-19,236.220214845,9149.515784515,42.2907938004,68.3607107739,17.4796957119
Julio,2020-07-20,237.214448237,9175.89012516,42.1744000692,69.44716569405,17.80060053145
Julio,2020-07-21,240.9336163005,9278.326487345,42.90707376165,70.29070835505,17.677939148249997
Julio,2020-07-22,252.7346889665,9425.086201965,44.1600499067,70.4146646434,17.80267375395
Julio,2020-07-23,269.315279764,9546.625571865,45.02208089895,72.37796114565,18.3800633978
Julio,2020-07-24,277.716308223,9552.3954784,44.46965968295,72.187458993,18.8989064336
Julio,2020-07-25,292.883681788,9617.38460461,46.61514842255,72.67507433450001,19.5601434375
Julio,2020-07-26,308.327076991,9838.32743371,49.047290598,75.5466208268,19.7962503537
Julio,2020-07-27,320.1795692625,10601.095934425,51.226299105,77.34196221105,19.3452037899
Julio,2020-07-28,316.813662084,10918.47965265,54.5171562825,80.77369274380001,20.0565028405
Julio,2020-07-29,318.74519841100005,11080.26920515,55.861409853,80.9368128237,20.11940588875
Julio,2020-07-30,327.1911399495,11032.40603765,56.02395983095,80.7519460414,19.8208498758
Julio,2020-07-31,338.9761545895,11201.45872215,57.28256954495,82.53344403035001,20.3866616398
Agosto,2020-08-01,366.2177042295,11517.2290644,59.5840496364,86.5341312245,21.1070930574
Agosto,2020-08-02,384.1859730995,11526.13709635,60.1308192543,86.34908506145001,20.9939212456
Agosto,2020-08-03,382.9216625575,11232.74673115,57.89081051695,86.93696195305,21.57657221995
Agosto,2020-08-04,391.842869422,11239.76348045,58.10821503605,87.8277377556,22.0143252146
Agosto,2020-08-05,396.2612247045,11472.45104695,58.44165113815,88.524949814,22.84855839035
Agosto,2020-08-06,398.044426028,11750.52488705,59.270000516,92.59045218145,22.9500350689
Agosto,2020-08-07,383.092262359,11653.3162284,58.35649568825,93.04710821175,22.3165347597
Agosto,2020-08-08,385.668547439,11679.24824115,57.5971509074,93.6981088252,22.4402105071
Agosto,2020-08-09,392.7839032225,11677.42036145,57.5799127624,93.8204575362,22.5516089485
Agosto,2020-08-10,395.208718944,11853.6986258,58.17982626985,92.8940182889,22.5594332078
Agosto,2020-08-11,384.6697593875,11564.2102227,56.33551431125,89.97626356789999,21.8005755195
Agosto,2020-08-12,379.6179611855,11499.0009689,53.9407100151,87.49143493125001,21.40121367875
Agosto,2020-08-13,406.3077412585,11506.63436695,55.1053649669,89.66378020615,21.45326082505
Agosto,2020-08-14,433.961808117,11918.2245741,57.169057415,91.7416499014,22.5294790631
Agosto,2020-08-15,435.814595676,11865.9501046,58.5512575255,90.76128967765,23.3905619396
Agosto,2020-08-16,425.676041904,11836.04475695,61.8100438956,89.866485247,23.29965355595
Agosto,2020-08-17,432.691127454,12082.8764522,65.200536911,92.2167945982,23.47085912405
Agosto,2020-08-18,426.1272015705,12145.11640975,66.1555770513,94.61705367505,23.12774034625
Agosto,2020-08-19,411.8514954215,11858.1281374,63.27018131965,92.0223116272,22.63240066455
Agosto,2020-08-20,411.3802761755,11805.23727395,62.40758528445,96.2825195379,22.7009588611
Agosto,2020-08-21,403.0395520825,11732.1193195,61.41167255345,99.02208074685,22.60507645765
Agosto,2020-08-22,389.640613372,11569.1067172,59.3751246953,91.967743243,21.85055290395
Agosto,2020-08-23,390.765113158,11636.67552785,59.9146745811,92.71479130435,21.91336992655
Agosto,2020-08-24,399.351591896,11715.441377,61.5458305944,92.4501172311,22.33428864385
Agosto,2020-08-25,391.441660476,11484.07547225,59.80476262245,90.36013665945,21.894756062
Agosto,2020-08-26,385.289559505,11413.52321955,58.1029861443,88.66902772809999,21.9101680422
Agosto,2020-08-27,385.1078289585,11378.3640607,56.9775020517,88.3612388688,22.5304168714
Agosto,2020-08-28,389.5157389945,11431.0189228,56.8669790728,91.9548696552,23.1209398803
Agosto,2020-08-29,399.326889261,11525.967022,57.6784977534,94.139750311,23.1713234742
Agosto,2020-08-30,414.1361668085,11603.8233111,59.98459933395,94.55040239425,23.4009322484
Agosto,2020-08-31,429.165247033,11683.5976201,62.1214097572,94.9457368061,23.4845574745
Septiembre,2020-09-01,459.645534505,11834.10495,62.28547252325,95.37637706085,24.19684291105
Septiembre,2020-09-02,452.3955024025,11627.8085345,60.1052657234,92.9018806666,24.7007917397
Septiembre,2020-09-03,415.331088783,10812.74394015,52.79510066315,84.4754696928,23.016197075500003
Septiembre,2020-09-04,387.0242233115,10435.93013205,49.7591733439,80.334939424,20.9042570039
Septiembre,2020-09-05,355.473305085,10264.123369405,48.73227892745,79.0190865616,19.8676940217
Septiembre,2020-09-06,339.4029694205,10205.4069108,47.75911597735,78.23879082635,21.048309899800003
Septiembre,2020-09-07,342.233133264,10157.823179465,47.3468071607,79.9016977473,21.88816951745
Septiembre,2020-09-08,342.189823982,10179.94268366,47.7511972563,81.89004899045,22.39277771715
Septiembre,2020-09-09,345.664742508,10183.89690265,47.7740247799,84.135941971,23.5509324858
Septiembre,2020-09-10,364.2526614685,10371.0242084,48.64394072265,86.32909270664999,24.91418343745
Septiembre,2020-09-11,366.106487231,10287.879615950002,48.40590551385,84.34692933485,24.4023141819
Septiembre,2020-09-12,377.6903259835,10435.61238015,49.946775643,86.5358597061,26.9883779611
Septiembre,2020-09-13,371.649985912,10400.77257095,49.228367189850005,87.0910427101,30.270458395
Septiembre,2020-09-14,371.0274850555,10533.0099157,48.69168728475,87.88216256125,31.3299835237
Septiembre,2020-09-15,372.5575481865,10797.54619185,49.24624245835,91.0956741481,29.0658995956
Septiembre,2020-09-16,364.7250850075,10902.5043459,48.1298817484,91.0916248675,27.3008859605
Septiembre,2020-09-17,379.3483663115,10906.0243969,48.6775046027,90.060371096,27.4868215351
Septiembre,2020-09-18,384.4345599915,10932.2824424,48.4347121222,93.5415395408,27.7431381048
Septiembre,2020-09-19,382.900207129,11021.8555416,48.62041770185,92.6716217891,27.32089449515
Septiembre,2020-09-20,376.346184035,10955.1734215,47.5508301254,93.0713818435,26.290869879
